comment;cleaned;normalisasi;filtered;steming_data;sentiment
kok Realme 13+ gak masuk di nominasi 3-4jt?;kok realme  gak masuk di nominasi jt;['kok', 'realme', 'tidak', 'masuk', 'di', 'nominasi', 'juta'];['realme', 'masuk', 'nominasi', 'juta'];['realme', 'masuk', 'nominasi', 'juta'];netral
0:14 tenang bang tahun 2030 lebaran dan tahun baru berdeketan.., jadi gak capek lagi buat edisi rekomendasi hp 2X setahun..,😂;tenang bang tahun  lebaran dan tahun baru berdeketan jadi gak capek lagi buat edisi rekomendasi hp x setahun;['tenang', 'abang', 'tahun', 'lebaran', 'dan', 'tahun', 'baru', 'berdeketan', 'jadi', 'tidak', 'capek', 'lagi', 'buat', 'edisi', 'rekomendasi', 'hp', 'kali', 'setahun'];['tenang', 'abang', 'lebaran', 'berdeketan', 'capek', 'edisi', 'rekomendasi', 'hp', 'kali', 'setahun'];['tenang', 'abang', 'lebaran', 'berdeketan', 'capek', 'edisi', 'rekomendasi', 'hp', 'kali', 'tahun'];netral
2033 lebaran tgl 2 ato 3 Januari wkwk;lebaran tgl  ato  januari wkwk;['lebaran', 'tanggal', 'atau', 'januari', 'wkwk'];['lebaran', 'tanggal', 'januari', 'wkwk'];['lebaran', 'tanggal', 'januari', 'wkwk'];netral
Kalo yang kamera terbaik harga 2jt-3jt yg mana?;kalo yang kamera terbaik harga jtjt yg mana;['kalau', 'yang', 'kamera', 'terbaik', 'harga', 'jtjt', 'yang', 'mana'];['kamera', 'terbaik', 'harga', 'jtjt'];['kamera', 'baik', 'harga', 'jtjt'];netral
Dapet poco f6 8/256 di harga 3,4 di tiktok wkwk;dapet poco f  di harga  di tiktok wkwk;['dapat', 'poco', 'f', 'di', 'harga', 'di', 'tiktok', 'wkwk'];['poco', 'f', 'harga', 'tiktok', 'wkwk'];['poco', 'f', 'harga', 'tiktok', 'wkwk'];netral
tecno camon 40 sependapat celahnya dikit fitur kamerany itu loh;tecno camon  sependapat celahnya dikit fitur kamerany itu loh;['tecno', 'camon', 'sependapat', 'celahnya', 'dikit', 'fitur', 'kamerany', 'itu', 'loh'];['tecno', 'camon', 'sependapat', 'celahnya', 'dikit', 'fitur', 'kamerany', 'loh'];['tecno', 'camon', 'dapat', 'celah', 'dikit', 'fitur', 'kamerany', 'loh'];netral
"kira""negara dengan pasar hp terlengkap negara apa ya?
kalo di indo kan lumayan banyak yang ga legal,kayak gopix dll";"kiranegara dengan pasar hp terlengkap negara apa ya
kalo di indo kan lumayan banyak yang ga legalkayak gopix dll";['kiranegara', 'dengan', 'pasar', 'hp', 'terlengkap', 'negara', 'apa', 'ya', 'kalau', 'di', 'indonesia', 'kan', 'lumayan', 'banyak', 'yang', 'tidak', 'legalkayak', 'gopix', 'dll'];['kiranegara', 'pasar', 'hp', 'terlengkap', 'negara', 'ya', 'indonesia', 'lumayan', 'legalkayak', 'gopix', 'dll'];['kiranegara', 'pasar', 'hp', 'lengkap', 'negara', 'ya', 'indonesia', 'lumayan', 'legalkayak', 'gopix', 'dll'];positif
Poco f6 ga masuk kategori ya,, gimana kalo f7 nih;poco f ga masuk kategori ya gimana kalo f nih;['poco', 'f', 'tidak', 'masuk', 'kategori', 'ya', 'bagaimana', 'kalau', 'f', 'nih'];['poco', 'f', 'masuk', 'kategori', 'ya', 'f', 'nih'];['poco', 'f', 'masuk', 'kategori', 'ya', 'f', 'nih'];netral
"untuk di kelas 2-3 juta, saya lebih pilih moto G45, sudah 5G biar gak perlu upgrade HP baru(kalo awet).
tapi setelah melihat Poco X7 Pro jadi bingung pilih yg mana . . . . hmmmm karena dengan harga yang ditawarkan performanya luar biasa dan kalo aja iklan di X7 pro bisa dihilangkan sih tambah menarik lagi.";"untuk di kelas  juta saya lebih pilih moto g sudah g biar gak perlu upgrade hp barukalo awet
tapi setelah melihat poco x pro jadi bingung pilih yg mana     hmmmm karena dengan harga yang ditawarkan performanya luar biasa dan kalo aja iklan di x pro bisa dihilangkan sih tambah menarik lagi";['untuk', 'di', 'kelas', 'juta', 'saya', 'lebih', 'pilih', 'moto', 'tidak', 'sudah', 'tidak', 'biar', 'tidak', 'perlu', 'upgrade', 'hp', 'barukalo', 'awet', 'tapi', 'setelah', 'melihat', 'poco', 'kali', 'pro', 'jadi', 'bingung', 'pilih', 'yang', 'mana', 'hmmmm', 'karena', 'dengan', 'harga', 'yang', 'ditawarkan', 'performanya', 'luar', 'biasa', 'dan', 'kalau', 'saja', 'iklan', 'di', 'kali', 'pro', 'bisa', 'dihilangkan', 'sih', 'tambah', 'menarik', 'lagi'];['kelas', 'juta', 'pilih', 'moto', 'biar', 'upgrade', 'hp', 'barukalo', 'awet', 'poco', 'kali', 'pro', 'bingung', 'pilih', 'hmmmm', 'harga', 'ditawarkan', 'performanya', 'iklan', 'kali', 'pro', 'dihilangkan', 'sih', 'menarik'];['kelas', 'juta', 'pilih', 'moto', 'biar', 'upgrade', 'hp', 'barukalo', 'awet', 'poco', 'kali', 'pro', 'bingung', 'pilih', 'hmmmm', 'harga', 'tawar', 'performa', 'iklan', 'kali', 'pro', 'hilang', 'sih', 'tarik'];netral
"Makasih bang konten"" nya sangat bermanfaat banget, alhamdulillah lebaran kali ini di temenin HP infinix not 50 pro, makasih banyak";makasih bang konten nya sangat bermanfaat banget alhamdulillah lebaran kali ini di temenin hp infinix not  pro makasih banyak;['terima kasih', 'abang', 'konten', 'ya', 'sangat', 'bermanfaat', 'banget', 'alhamdulillah', 'lebaran', 'kali', 'ini', 'di', 'temenin', 'hp', 'infinix', 'not', 'pro', 'terima kasih', 'banyak'];['terima kasih', 'abang', 'konten', 'ya', 'bermanfaat', 'banget', 'alhamdulillah', 'lebaran', 'kali', 'temenin', 'hp', 'infinix', 'not', 'pro', 'terima kasih'];['terima kasih', 'abang', 'konten', 'ya', 'manfaat', 'banget', 'alhamdulillah', 'lebaran', 'kali', 'temenin', 'hp', 'infinix', 'not', 'pro', 'terima kasih'];netral
Bg bagi bagi hp habis di repiyu lah sama sucreber 😅;bg bagi bagi hp habis di repiyu lah sama sucreber;['bang', 'bagi', 'bagi', 'hp', 'habis', 'di', 'repiyu', 'lah', 'sama', 'sucreber'];['bang', 'hp', 'habis', 'repiyu', 'sucreber'];['bang', 'hp', 'habis', 'repiyu', 'sucreber'];netral
ntah tuh aneh aja,hari raya kok makin lama makin maju,suka suka orng ni aj lah;ntah tuh aneh ajahari raya kok makin lama makin majusuka suka orng ni aj lah;['entah', 'tuh', 'aneh', 'ajahari', 'raya', 'kok', 'makin', 'lama', 'makin', 'majusuka', 'suka', 'orang', 'nih', 'saja', 'lah'];['tuh', 'aneh', 'ajahari', 'raya', 'majusuka', 'suka', 'orang', 'nih'];['tuh', 'aneh', 'ajahari', 'raya', 'majusuka', 'suka', 'orang', 'nih'];positif
Yang ditunggu tunggu keluar juga;yang ditunggu tunggu keluar juga;['yang', 'ditunggu', 'tunggu', 'keluar', 'juga'];['ditunggu', 'tunggu'];['tunggu', 'tunggu'];netral
Jujurr beli hp online gitu aman gak?,soalnya beli offline suka pada mahal;jujurr beli hp online gitu aman gaksoalnya beli offline suka pada mahal;['jujurr', 'beli', 'hp', 'online', 'begitu', 'aman', 'gaksoalnya', 'beli', 'offline', 'suka', 'pada', 'mahal'];['jujurr', 'beli', 'hp', 'online', 'aman', 'gaksoalnya', 'beli', 'offline', 'suka', 'mahal'];['jujurr', 'beli', 'hp', 'online', 'aman', 'gaksoalnya', 'beli', 'offline', 'suka', 'mahal'];netral
hmmm.... ngimpi ngemis dan dikirimin gadgetin 1 hp buat ngojol....hahay...;hmmm ngimpi ngemis dan dikirimin gadgetin  hp buat ngojolhahay;['hmmm', 'mimpi', 'ngemis', 'dan', 'dikirimin', 'gadgetin', 'hp', 'buat', 'ngojolhahay'];['hmmm', 'mimpi', 'ngemis', 'dikirimin', 'gadgetin', 'hp', 'ngojolhahay'];['hmmm', 'mimpi', 'ngemis', 'dikirimin', 'gadgetin', 'hp', 'ngojolhahay'];netral
Special mix yess jgn lp bang bungkusnya di kirim sp tau dpt tiket umroh 😂;special mix yess jgn lp bang bungkusnya di kirim sp tau dpt tiket umroh;['special', 'mix', 'yess', 'jangan', 'lp', 'abang', 'bungkusnya', 'di', 'kirim', 'sapa', 'tau', 'dapat', 'tiket', 'umroh'];['special', 'mix', 'yess', 'lp', 'abang', 'bungkusnya', 'kirim', 'sapa', 'tau', 'tiket', 'umroh'];['special', 'mix', 'yess', 'lp', 'abang', 'bungkus', 'kirim', 'sapa', 'tau', 'tiket', 'umroh'];netral
Apa Apaan Nih 5-1 wkwk;apa apaan nih  wkwk;['apa', 'apaan', 'nih', 'wkwk'];['nih', 'wkwk'];['nih', 'wkwk'];netral
Yaaa s25 ultra nya di cuekin bg hehe;yaaa s ultra nya di cuekin bg hehe;['ya', 'si', 'ultra', 'ya', 'di', 'cuekin', 'bang', 'hehe'];['ya', 'si', 'ultra', 'ya', 'cuekin', 'bang', 'hehe'];['ya', 'si', 'ultra', 'ya', 'cuekin', 'bang', 'hehe'];netral
"Tetep stay nonton pake Vivo y12;";tetep stay nonton pake vivo y;['tetap', 'stay', 'menonton', 'pakai', 'vivo', 'ya'];['stay', 'menonton', 'pakai', 'vivo', 'ya'];['stay', 'tonton', 'pakai', 'vivo', 'ya'];netral
Rekomendasi hp yang layar cruve 2-3 JT dong apa ya? Yang kamera bagus dan performa lumayan juga. Ga main game soalnya;rekomendasi hp yang layar cruve  jt dong apa ya yang kamera bagus dan performa lumayan juga ga main game soalnya;['rekomendasi', 'hp', 'yang', 'layar', 'cruve', 'juta', 'dong', 'apa', 'ya', 'yang', 'kamera', 'bagus', 'dan', 'performa', 'lumayan', 'juga', 'tidak', 'main', 'game', 'soalnya'];['rekomendasi', 'hp', 'layar', 'cruve', 'juta', 'ya', 'kamera', 'bagus', 'performa', 'lumayan', 'main', 'game'];['rekomendasi', 'hp', 'layar', 'cruve', 'juta', 'ya', 'kamera', 'bagus', 'performa', 'lumayan', 'main', 'game'];netral
Bang masih worth it gk hp Infinix note 40 5G di tahun sekarang. Mohon penjelasannya 🙏🙏;bang masih worth it gk hp infinix note  g di tahun sekarang mohon penjelasannya;['abang', 'masih', 'worth', 'itu', 'tidak', 'hp', 'infinix', 'note', 'tidak', 'di', 'tahun', 'sekarang', 'mohon', 'penjelasannya'];['abang', 'worth', 'hp', 'infinix', 'note', 'mohon', 'penjelasannya'];['abang', 'worth', 'hp', 'infinix', 'note', 'mohon', 'jelas'];positif
saran dong bang, buat tahun ini dan kedepannya mending ambil f6, x6 pro atau x7 pro?;saran dong bang buat tahun ini dan kedepannya mending ambil f x pro atau x pro;['saran', 'dong', 'abang', 'buat', 'tahun', 'ini', 'dan', 'kedepannya', 'mending', 'ambil', 'f', 'kali', 'pro', 'atau', 'kali', 'pro'];['saran', 'abang', 'kedepannya', 'mending', 'ambil', 'f', 'kali', 'pro', 'kali', 'pro'];['saran', 'abang', 'depan', 'mending', 'ambil', 'f', 'kali', 'pro', 'kali', 'pro'];positif
Saran dong Tecno spark 30 pro atau Tecno camon 20 pro 5g?;saran dong tecno spark  pro atau tecno camon  pro g;['saran', 'dong', 'tecno', 'spark', 'pro', 'atau', 'tecno', 'camon', 'pro', 'tidak'];['saran', 'tecno', 'spark', 'pro', 'tecno', 'camon', 'pro'];['saran', 'tecno', 'spark', 'pro', 'tecno', 'camon', 'pro'];netral
Samsung gak masuk nominasi;samsung gak masuk nominasi;['samsung', 'tidak', 'masuk', 'nominasi'];['samsung', 'masuk', 'nominasi'];['samsung', 'masuk', 'nominasi'];netral
renot 14 4G apa tecno pova 6;renot  g apa tecno pova;['renot', 'tidak', 'apa', 'tecno', 'pova'];['renot', 'tecno', 'pova'];['renot', 'tecno', 'pova'];netral
iqoo z9 kok gak masuk yaa;iqoo z kok gak masuk yaa;['iqoo', 'saja', 'kok', 'tidak', 'masuk', 'ya'];['iqoo', 'masuk', 'ya'];['iqoo', 'masuk', 'ya'];netral
alhamdulillah nonton gadgetin pake infinix note 50 pro;alhamdulillah nonton gadgetin pake infinix note  pro;['alhamdulillah', 'menonton', 'gadgetin', 'pakai', 'infinix', 'note', 'pro'];['alhamdulillah', 'menonton', 'gadgetin', 'pakai', 'infinix', 'note', 'pro'];['alhamdulillah', 'tonton', 'gadgetin', 'pakai', 'infinix', 'note', 'pro'];netral
Hp impian Oppo find x8 😫;hp impian oppo find x;['hp', 'impian', 'oppo', 'find', 'kali'];['hp', 'impian', 'oppo', 'find', 'kali'];['hp', 'impi', 'oppo', 'find', 'kali'];netral
saya hanya suka 2 hp, vivo X200 pro & samsung galaxy S25 Pro, tapi, liat harganya hehehehehehe dulu;saya hanya suka  hp vivo x pro  samsung galaxy s pro tapi liat harganya hehehehehehe dulu;['saya', 'hanya', 'suka', 'hp', 'vivo', 'kali', 'pro', 'samsung', 'galaxy', 'si', 'pro', 'tapi', 'lihat', 'harganya', 'hehehehehehe', 'dulu'];['suka', 'hp', 'vivo', 'kali', 'pro', 'samsung', 'galaxy', 'si', 'pro', 'lihat', 'harganya', 'hehehehehehe'];['suka', 'hp', 'vivo', 'kali', 'pro', 'samsung', 'galaxy', 'si', 'pro', 'lihat', 'harga', 'hehehehehehe'];netral
BG ad brand hp baru yg masuk Indonesia yaitu inoi di tunggu review nya;bg ad brand hp baru yg masuk indonesia yaitu inoi di tunggu review nya;['bang', 'ada', 'brand', 'hp', 'baru', 'yang', 'masuk', 'indonesia', 'yaitu', 'inoi', 'di', 'tunggu', 'review', 'ya'];['bang', 'brand', 'hp', 'masuk', 'indonesia', 'inoi', 'tunggu', 'review', 'ya'];['bang', 'brand', 'hp', 'masuk', 'indonesia', 'inoi', 'tunggu', 'review', 'ya'];netral
kenapa baru sekarang udah terlajur beli samsung a35;kenapa baru sekarang udah terlajur beli samsung a;['kenapa', 'baru', 'sekarang', 'sudah', 'terlajur', 'beli', 'samsung', 'a'];['terlajur', 'beli', 'samsung', 'a'];['lajur', 'beli', 'samsung', 'a'];netral
infinix note 50;infinix note;['infinix', 'note'];['infinix', 'note'];['infinix', 'note'];netral
kurang panjang bang videonyaa, gua nonton sambil buka puasa jadi berasa kurang lama wkwkw;kurang panjang bang videonyaa gua nonton sambil buka puasa jadi berasa kurang lama wkwkw;['kurang', 'panjang', 'abang', 'videonyaa', 'gua', 'menonton', 'sambil', 'buka', 'puasa', 'jadi', 'berasa', 'kurang', 'lama', 'wkwkw'];['abang', 'videonyaa', 'gua', 'menonton', 'buka', 'puasa', 'berasa', 'wkwkw'];['abang', 'videonyaa', 'gua', 'tonton', 'buka', 'puasa', 'asa', 'wkwkw'];netral
Kenapa iphone ga pernah masuk kategori yg lain bang?;kenapa iphone ga pernah masuk kategori yg lain bang;['kenapa', 'iphone', 'tidak', 'pernah', 'masuk', 'kategori', 'yang', 'lain', 'abang'];['iphone', 'masuk', 'kategori', 'abang'];['iphone', 'masuk', 'kategori', 'abang'];netral
Kalo hp dibawah 4 juta yg kameranya paling bagus apa y? Ada yg punya rekomendasi?;kalo hp dibawah  juta yg kameranya paling bagus apa y ada yg punya rekomendasi;['kalau', 'hp', 'dibawah', 'juta', 'yang', 'kameranya', 'paling', 'bagus', 'apa', 'ya', 'ada', 'yang', 'punya', 'rekomendasi'];['hp', 'dibawah', 'juta', 'kameranya', 'bagus', 'ya', 'rekomendasi'];['hp', 'bawah', 'juta', 'kamera', 'bagus', 'ya', 'rekomendasi'];netral
ditoko offline Infinix note 50 pro berapa bang;ditoko offline infinix note  pro berapa bang;['ditoko', 'offline', 'infinix', 'note', 'pro', 'berapa', 'abang'];['ditoko', 'offline', 'infinix', 'note', 'pro', 'abang'];['toko', 'offline', 'infinix', 'note', 'pro', 'abang'];netral
Bisa kasih info dealer Moto g45 5G  di Tegal, bang;bisa kasih info dealer moto g g  di tegal bang;['bisa', 'kasih', 'info', 'dealer', 'moto', 'tidak', 'tidak', 'di', 'tegal', 'abang'];['kasih', 'info', 'dealer', 'moto', 'tegal', 'abang'];['kasih', 'info', 'dealer', 'moto', 'tegal', 'abang'];netral
Pengen ganti poco m4 pro 4g yg udah make 3 tahun lebih ke infinix note 50 pro euy... 😢;pengen ganti poco m pro g yg udah make  tahun lebih ke infinix note  pro euy;['pengin', 'ganti', 'poco', 'sama', 'pro', 'tidak', 'yang', 'sudah', 'memakai', 'tahun', 'lebih', 'ke', 'infinix', 'note', 'pro', 'euy'];['pengin', 'ganti', 'poco', 'pro', 'memakai', 'infinix', 'note', 'pro', 'euy'];['pengin', 'ganti', 'poco', 'pro', 'pakai', 'infinix', 'note', 'pro', 'euy'];netral
Riview samsung A56 bang;riview samsung a bang;['riview', 'samsung', 'a', 'abang'];['riview', 'samsung', 'a', 'abang'];['riview', 'samsung', 'a', 'abang'];netral
Akhirx bisa kebeli kopix;akhirx bisa kebeli kopix;['akhirx', 'bisa', 'kebeli', 'kopix'];['akhirx', 'kebeli', 'kopix'];['akhirx', 'kebel', 'kopix'];netral
Alhamdulillah udah ke beli hp poco m6pro dapet 2,1 baru. Yah walau pun GX menang rekomendasi bang David GX PP lah, kalau menurut saya hp ini udah bagus sih di harga 2 JT;alhamdulillah udah ke beli hp poco mpro dapet  baru yah walau pun gx menang rekomendasi bang david gx pp lah kalau menurut saya hp ini udah bagus sih di harga  jt;['alhamdulillah', 'sudah', 'ke', 'beli', 'hp', 'poco', 'mpro', 'dapat', 'baru', 'ya', 'walau', 'pun', 'tidak', 'menang', 'rekomendasi', 'abang', 'david', 'tidak', 'pp', 'lah', 'kalau', 'menurut', 'saya', 'hp', 'ini', 'sudah', 'bagus', 'sih', 'di', 'harga', 'juta'];['alhamdulillah', 'beli', 'hp', 'poco', 'mpro', 'ya', 'menang', 'rekomendasi', 'abang', 'david', 'pp', 'hp', 'bagus', 'sih', 'harga', 'juta'];['alhamdulillah', 'beli', 'hp', 'poco', 'mpro', 'ya', 'menang', 'rekomendasi', 'abang', 'david', 'pp', 'hp', 'bagus', 'sih', 'harga', 'juta'];netral
Iqoo tak masuk ya;iqoo tak masuk ya;['iqoo', 'tak', 'masuk', 'ya'];['iqoo', 'masuk', 'ya'];['iqoo', 'masuk', 'ya'];netral
Ga nyesel beli note 50 pro;ga nyesel beli note  pro;['tidak', 'menyesal', 'beli', 'note', 'pro'];['menyesal', 'beli', 'note', 'pro'];['sesal', 'beli', 'note', 'pro'];netral
berapa harga nya bang;berapa harga nya bang;['berapa', 'harga', 'ya', 'abang'];['harga', 'ya', 'abang'];['harga', 'ya', 'abang'];netral
ditoko offline;ditoko offline;['ditoko', 'offline'];['ditoko', 'offline'];['toko', 'offline'];netral
harusnya ada google pixel disana, tapi karna ga resmi jadi ya ga pernah ada 🌚;harusnya ada google pixel disana tapi karna ga resmi jadi ya ga pernah ada;['harusnya', 'ada', 'google', 'pixel', 'disana', 'tapi', 'karena', 'tidak', 'resmi', 'jadi', 'ya', 'tidak', 'pernah', 'ada'];['google', 'pixel', 'disana', 'resmi', 'ya'];['google', 'pixel', 'sana', 'resmi', 'ya'];positif
Bang akhirnya setelah gw komen berkali' makasih bang❤;bang akhirnya setelah gw komen berkali makasih bang;['abang', 'akhirnya', 'setelah', 'gue', 'komen', 'berkali', 'terima kasih', 'abang'];['abang', 'gue', 'komen', 'berkali', 'terima kasih', 'abang'];['abang', 'gue', 'komen', 'kali', 'terima kasih', 'abang'];netral
Bang itu hpnya di jual gak;bang itu hpnya di jual gak;['abang', 'itu', 'hpnya', 'di', 'jual', 'tidak'];['abang', 'hpnya', 'jual'];['abang', 'hpnya', 'jual'];netral
Ora mau di bagi bagi bang ? 😅;ora mau di bagi bagi bang;['ora', 'mau', 'di', 'bagi', 'bagi', 'abang'];['ora', 'abang'];['ora', 'abang'];netral
Mulai tertarik nih ke transion group;mulai tertarik nih ke transion group;['mulai', 'tertarik', 'nih', 'ke', 'transion', 'group'];['tertarik', 'nih', 'transion', 'group'];['tarik', 'nih', 'transion', 'group'];netral
14t Or v50?;t or v;['t', 'orang', 'v'];['t', 'orang', 'v'];['t', 'orang', 'v'];netral
anjayyyy;anjayyyy;['anjay'];['anjay'];['anjay'];netral
ZTE Nubia Neo 2 5G atau IQOO Z9 paling bagus untuk gaming BG?;zte nubia neo  g atau iqoo z paling bagus untuk gaming bg;['zte', 'nubia', 'neo', 'tidak', 'atau', 'iqoo', 'saja', 'paling', 'bagus', 'untuk', 'gaming', 'bang'];['zte', 'nubia', 'neo', 'iqoo', 'bagus', 'gaming', 'bang'];['zte', 'nubia', 'neo', 'iqoo', 'bagus', 'gaming', 'bang'];netral
nungguin yg hrga 1,5 jd 500 buat skolah anak😊😊😊😊;nungguin yg hrga  jd  buat skolah anak;['menunggu', 'yang', 'hrga', 'jadi', 'buat', 'sekolah', 'anak'];['menunggu', 'hrga', 'sekolah', 'anak'];['tunggu', 'hrga', 'sekolah', 'anak'];netral
Buat rekomendasi laptop untuk lebaran dong bang;buat rekomendasi laptop untuk lebaran dong bang;['buat', 'rekomendasi', 'laptop', 'untuk', 'lebaran', 'dong', 'abang'];['rekomendasi', 'laptop', 'lebaran', 'abang'];['rekomendasi', 'laptop', 'lebaran', 'abang'];netral
Poco X7 Pro. Bakalan jadi juara bertahan 3thn kedepan 😊😊😊;poco x pro bakalan jadi juara bertahan thn kedepan;['poco', 'kali', 'pro', 'bakalan', 'jadi', 'juara', 'bertahan', 'tahun', 'kedepan'];['poco', 'kali', 'pro', 'juara', 'bertahan', 'kedepan'];['poco', 'kali', 'pro', 'juara', 'tahan', 'depan'];netral
Motorola g45 paling menarik di kelasnya;motorola g paling menarik di kelasnya;['motorola', 'tidak', 'paling', 'menarik', 'di', 'kelasnya'];['motorola', 'menarik', 'kelasnya'];['motorola', 'tarik', 'kelas'];netral
Bang infinix note 50 pro di tokped 2,8jt😂;bang infinix note  pro di tokped jt;['abang', 'infinix', 'note', 'pro', 'di', 'tokped', 'juta'];['abang', 'infinix', 'note', 'pro', 'tokped', 'juta'];['abang', 'infinix', 'note', 'pro', 'tokped', 'juta'];netral
Yess, nonton gadjetin pake infinix note 50 proo, thankyou bang❤;yess nonton gadjetin pake infinix note  proo thankyou bang;['yess', 'menonton', 'gadjetin', 'pakai', 'infinix', 'note', 'proo', 'thankyou', 'abang'];['yess', 'menonton', 'gadjetin', 'pakai', 'infinix', 'note', 'proo', 'thankyou', 'abang'];['yess', 'tonton', 'gadjetin', 'pakai', 'infinix', 'note', 'proo', 'thankyou', 'abang'];netral
12:20, kalau ini shooting sebelum indo vs australi ini kebetulan yg keren sih;kalau ini shooting sebelum indo vs australi ini kebetulan yg keren sih;['kalau', 'ini', 'shooting', 'sebelum', 'indonesia', 'vs', 'australi', 'ini', 'kebetulan', 'yang', 'keren', 'sih'];['shooting', 'indonesia', 'vs', 'australi', 'keren', 'sih'];['shooting', 'indonesia', 'vs', 'australi', 'keren', 'sih'];positif
3jt ez win poco x7 bg;jt ez win poco x bg;['juta', 'ez', 'win', 'poco', 'kali', 'bang'];['juta', 'ez', 'win', 'poco', 'kali', 'bang'];['juta', 'ez', 'win', 'poco', 'kali', 'bang'];netral
"10:00 ""atau kalau emank duitnya harus diabisin"" 🗿🗿";atau kalau emank duitnya harus diabisin;['atau', 'kalau', 'memang', 'duitnya', 'harus', 'diabisin'];['duitnya', 'diabisin'];['duit', 'diabisin'];netral
Rekomendasi versi tablet dong, hp mulu😢;rekomendasi versi tablet dong hp mulu;['rekomendasi', 'versi', 'tablet', 'dong', 'hp', 'mulu'];['rekomendasi', 'versi', 'tablet', 'hp', 'mulu'];['rekomendasi', 'versi', 'tablet', 'hp', 'mulu'];netral
Yg ditunggu tunggu;yg ditunggu tunggu;['yang', 'ditunggu', 'tunggu'];['ditunggu', 'tunggu'];['tunggu', 'tunggu'];netral
Rill langsung nyobain Tecno Camon 40 buat secondary, enak banget ini hape. HiOS ternyata gak buruk² amat, plus AI Ella nya useful banget.;rill langsung nyobain tecno camon  buat secondary enak banget ini hape hios ternyata gak buruk amat plus ai ella nya useful banget;['rill', 'langsung', 'mencoba', 'tecno', 'camon', 'buat', 'secondary', 'enak', 'banget', 'ini', 'hape', 'hios', 'ternyata', 'tidak', 'buruk', 'amat', 'plus', 'ai', 'ella', 'ya', 'useful', 'banget'];['rill', 'langsung', 'mencoba', 'tecno', 'camon', 'secondary', 'enak', 'banget', 'hape', 'hios', 'buruk', 'plus', 'ai', 'ella', 'ya', 'useful', 'banget'];['rill', 'langsung', 'coba', 'tecno', 'camon', 'secondary', 'enak', 'banget', 'hape', 'hios', 'buruk', 'plus', 'ai', 'ella', 'ya', 'useful', 'banget'];positif
Kenapa saya beli HP infinix di official store lebih mahal?;kenapa saya beli hp infinix di official store lebih mahal;['kenapa', 'saya', 'beli', 'hp', 'infinix', 'di', 'official', 'store', 'lebih', 'mahal'];['beli', 'hp', 'infinix', 'official', 'store', 'mahal'];['beli', 'hp', 'infinix', 'official', 'store', 'mahal'];netral
"Bisa sih bli, tpi 😢
Masih mendang mending 😅
Fokus di usaha dulu aja.
Dilewat terus rekomendasinya 😅😅😅";"bisa sih bli tpi 
masih mendang mending 
fokus di usaha dulu aja
dilewat terus rekomendasinya";['bisa', 'sih', 'beli', 'tapi', 'masih', 'mendang', 'mending', 'fokus', 'di', 'usaha', 'dulu', 'saja', 'dilewat', 'terus', 'rekomendasinya'];['sih', 'beli', 'mendang', 'mending', 'fokus', 'usaha', 'dilewat', 'rekomendasinya'];['sih', 'beli', 'dang', 'mending', 'fokus', 'usaha', 'lewat', 'rekomendasi'];positif
Bang mau nanya dong, kalo misalnya beli redmi 13c apa bedanya sama 14c soalnya kalo 14c saya kurang suka sama kamera bulat/lingkaran tapi disisi lain saya ragu beli redmi 13c, soalnya kalo mau beli 13c nanggung tinggal nambah berapa uang lagi bisa kebeli yang 14c. Tolong kasih saran guys?;bang mau nanya dong kalo misalnya beli redmi c apa bedanya sama c soalnya kalo c saya kurang suka sama kamera bulatlingkaran tapi disisi lain saya ragu beli redmi c soalnya kalo mau beli c nanggung tinggal nambah berapa uang lagi bisa kebeli yang c tolong kasih saran guys;['abang', 'mau', 'bertanya', 'dong', 'kalau', 'misalnya', 'beli', 'redmi', 'sih', 'apa', 'bedanya', 'sama', 'sih', 'soalnya', 'kalau', 'sih', 'saya', 'kurang', 'suka', 'sama', 'kamera', 'bulatlingkaran', 'tapi', 'disisi', 'lain', 'saya', 'ragu', 'beli', 'redmi', 'sih', 'soalnya', 'kalau', 'mau', 'beli', 'sih', 'nanggung', 'tinggal', 'menambah', 'berapa', 'uang', 'lagi', 'bisa', 'kebeli', 'yang', 'sih', 'tolong', 'kasih', 'saran', 'guys'];['abang', 'beli', 'redmi', 'sih', 'bedanya', 'sih', 'sih', 'suka', 'kamera', 'bulatlingkaran', 'disisi', 'ragu', 'beli', 'redmi', 'sih', 'beli', 'sih', 'nanggung', 'tinggal', 'menambah', 'uang', 'kebeli', 'sih', 'tolong', 'kasih', 'saran', 'guys'];['abang', 'beli', 'redmi', 'sih', 'beda', 'sih', 'sih', 'suka', 'kamera', 'bulatlingkaran', 'sisi', 'ragu', 'beli', 'redmi', 'sih', 'beli', 'sih', 'nanggung', 'tinggal', 'tambah', 'uang', 'kebel', 'sih', 'tolong', 'kasih', 'saran', 'guys'];netral
